Accel_Center,FSR2_Right,Pot_Left_Knee,Temperature_Left_Ankle,Gyro_Left_Ankle,Gyro_Right_Knee,Temperature_Right_Ankle,Accel_Right_Knee,Accel_Left_Knee,Pot_Right_Ankle,FSR2_Left,FSR3_Right,Gyro_Center,Temperature_Center,Pot_Left_Hip,Temperature_Right_Foot,Accel_Left_Ankle,Pot_Left_Ankle,Accel_Right_Ankle,Pot_Right_Hip,FSR1_Right,Gyro_Left_Knee,Pot_Right_Knee,Accel_Right_Foot,FSR3_Left,Temperature_Left_Knee,FSR1_Left,Temperature_Left_Foot,Gyro_Left_Foot,Gyro_Right_Ankle,Gyro_Right_Foot,Accel_Left_Foot,Temperature_Right_Knee
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
"3, 2, 1",1,2,8,"6, 5, 4","6, 5, 4",8,"3, 2, 1","3, 2, 1",1,1,2,"6, 5, 4",8,1,8,"3, 2, 1",0,"3, 2, 1",2,0,"6, 5, 4",0,"3, 2, 1",2,8,0,8,"6, 5, 4","6, 5, 4","6, 5, 4","3, 2, 1",8
